antecedent,consequent,support,confidence,lift
1054,49,96,0.7164,1.4990
40 42 397,49,96,0.7164,1.4990
1106,49,101,0.7163,1.4988
42 49 90,40,522,0.8614,1.4986
40 2384,49,270,0.7162,1.4985
40 10569,49,111,0.7161,1.4984
40 1067,49,169,0.7161,1.4983
40 1314,49,179,0.7160,1.4981
42 226 272,40,99,0.8609,1.4977
40 137,49,219,0.7157,1.4975
42 273,40,111,0.8605,1.4970
42 49 108,40,111,0.8605,1.4970
33 187,49,108,0.7152,1.4965
33 42 226,40,178,0.8599,1.4960
40 2188,49,158,0.7149,1.4959
42 49 14099,40,110,0.8594,1.4951
42 49 605,40,171,0.8593,1.4950
49 4976,40,116,0.8593,1.4949
49 1997,40,128,0.8591,1.4946
40 5652,49,105,0.7143,1.4945
40 1819,49,105,0.7143,1.4945
40 490,49,110,0.7143,1.4945
40 3316,49,125,0.7143,1.4945
40 10452,49,120,0.7143,1.4945
40 2496,49,140,0.7143,1.4945
40 2185,49,210,0.7143,1.4945
42 2200,49,105,0.7143,1.4945
42 270,49,110,0.7143,1.4945
42 550,49,140,0.7143,1.4945
39 202,49,105,0.7143,1.4945
40 42 80,49,270,0.7143,1.4945
39 49 256,40,170,0.8586,1.4937
39 49 1328,40,170,0.8586,1.4937
42 49 767,40,103,0.8583,1.4933
42 790,49,137,0.7135,1.4930
12 42 49,40,127,0.8581,1.4929
40 3413,49,92,0.7132,1.4922
33 40 80,49,174,0.7131,1.4921
40 767,49,335,0.7128,1.4914
39 49 108,40,90,0.8571,1.4912
42 12926,40,132,0.8571,1.4912
39 40 102,49,181,0.7126,1.4910
40 1105,49,119,0.7126,1.4910
11 40,49,322,0.7124,1.4906
33 16012,49,104,0.7123,1.4905
40 593,49,515,0.7123,1.4904
40 409,49,198,0.7122,1.4902
39 270,49,99,0.7122,1.4902
40 347,49,146,0.7122,1.4902
33 40 12926,49,94,0.7121,1.4900
40 866,49,272,0.7120,1.4899
40 2414,49,89,0.7120,1.4898
40 407,49,89,0.7120,1.4898
40 1309,49,131,0.7120,1.4897
42 124,49,168,0.7119,1.4895
33 339,49,163,0.7118,1.4893
166,49,195,0.7117,1.4891
16 40,49,148,0.7115,1.4888
39 42 49 90,40,148,0.8555,1.4883
49 598,40,136,0.8553,1.4881
39 42 49 66,40,130,0.8553,1.4879
40 3965,49,160,0.7111,1.4879
40 4699,49,187,0.7110,1.4877
40 14100,49,172,0.7107,1.4871
40 1539,49,113,0.7107,1.4870
40 66 226,49,113,0.7107,1.4870
40 994,49,140,0.7107,1.4870
1312,49,103,0.7103,1.4863
33 2200,49,98,0.7101,1.4859
40 13033,49,132,0.7097,1.4849
42 77,49,154,0.7097,1.4849
37 49 90,40,99,0.8534,1.4848
40 341,49,281,0.7096,1.4847
37 39 90,40,128,0.8533,1.4846
42 209,49,149,0.7095,1.4846
39 42 49 171,40,413,0.8533,1.4845
2823,49,127,0.7095,1.4845
40 2442,49,105,0.7095,1.4845
39 42 1147,40,93,0.8532,1.4844
42 250,49,183,0.7093,1.4841
33 40 42 66,49,122,0.7093,1.4841
40 42 16011,49,261,0.7092,1.4840
39 42 476,40,116,0.8529,1.4839
226 311,49,117,0.7091,1.4837
42 439,40,365,0.8528,1.4837
40 42 118,49,134,0.7090,1.4835
40 2747,49,112,0.7089,1.4832
40 611,49,129,0.7088,1.4831
40 2724,49,90,0.7087,1.4828
42 54,49,90,0.7087,1.4828
40 5359,49,107,0.7086,1.4827
40 685,49,119,0.7083,1.4821
42 2185,49,102,0.7083,1.4821
40 42 523,49,119,0.7083,1.4821
42 49 536,40,92,0.8519,1.4820
42 49 171,40,419,0.8516,1.4816
1906,49,126,0.7079,1.4811
40 42 8979,49,172,0.7078,1.4810
10420,49,109,0.7078,1.4810
4641,49,109,0.7078,1.4810
40 1073,49,109,0.7078,1.4810
39 262,40,103,0.8512,1.4809
33 39 40 111,49,201,0.7077,1.4809
40 42 536,49,92,0.7077,1.4808
90 311,40,194,0.8509,1.4803
108 549,49,104,0.7075,1.4803
42 433,40,114,0.8507,1.4801
40 4976,49,116,0.7073,1.4800
42 15579,40,91,0.8505,1.4796
42 49 1716,40,108,0.8504,1.4795
40 1487,49,181,0.7070,1.4794
39 49 238,40,352,0.8502,1.4792
40 205,49,135,0.7068,1.4789
40 2816,49,94,0.7068,1.4788
42 268,49,94,0.7068,1.4788
40 2326,49,147,0.7067,1.4787
40 5125,49,106,0.7067,1.4786
40 346,49,212,0.7067,1.4786
42 1784,49,106,0.7067,1.4786
40 10516,49,373,0.7064,1.4781
39 273,49,89,0.7063,1.4779
33 40 111,49,202,0.7063,1.4778
975,49,113,0.7063,1.4777
40 2857,49,120,0.7059,1.4770
40 177,49,144,0.7059,1.4770
42 49 256,40,230,0.8487,1.4765
40 564,49,115,0.7055,1.4762
2395,49,158,0.7054,1.4759
42 49 741,40,95,0.8482,1.4757
33 230,49,134,0.7053,1.4757
42 49 265,40,134,0.8481,1.4755
40 927,49,110,0.7051,1.4754
33 40 1047,49,110,0.7051,1.4754
42 571,40,173,0.8480,1.4754
42 917,40,106,0.8480,1.4753
33 39 49 90,40,106,0.8480,1.4753
2151,49,141,0.7050,1.4751
42 49 545,40,117,0.8478,1.4750
33 42 49 171,40,89,0.8476,1.4746
42 186,49,210,0.7047,1.4745
40 806,49,136,0.7047,1.4744
40 63,49,198,0.7046,1.4743
12 33,49,93,0.7045,1.4742
40 549,49,467,0.7044,1.4738
42 49 250,40,155,0.8470,1.4736
40 1965,49,100,0.7042,1.4735
33 16011 16012,49,100,0.7042,1.4735
42 49 1328,40,260,0.8469,1.4734
40 42 13042,49,219,0.7042,1.4734
39 49 226,40,337,0.8467,1.4731
42 49 1199,40,127,0.8467,1.4730
238 476,49,126,0.7039,1.4728
42 49 15833,40,220,0.8462,1.4721
40 985,49,159,0.7035,1.4721
40 42 77,49,121,0.7035,1.4720
42 489,49,102,0.7034,1.4719
39 40 14099,49,102,0.7034,1.4719
40 42 390,49,109,0.7032,1.4714
10 33 40,49,109,0.7032,1.4714
574,49,135,0.7031,1.4712
40 9580,49,135,0.7031,1.4712
40 42 375,49,90,0.7031,1.4712
42 90,40,619,0.8456,1.4712
40 270,49,310,0.7029,1.4708
40 3190,49,97,0.7029,1.4707
40 676,49,291,0.7029,1.4707
40 247,49,182,0.7027,1.4703
42 14934,40,98,0.8448,1.4698
40 1186,49,144,0.7024,1.4698
40 678,49,446,0.7024,1.4696
42 1394,49,151,0.7023,1.4695
66 238,49,151,0.7023,1.4695
42 794,49,92,0.7023,1.4695
40 1988,49,217,0.7023,1.4694
42 49 259,40,163,0.8446,1.4693
40 990,49,139,0.7020,1.4689
40 3312,49,106,0.7020,1.4688
40 342,49,160,0.7018,1.4683
33 180,49,160,0.7018,1.4683
40 856,49,228,0.7015,1.4679
40 1185,49,94,0.7015,1.4678
40 13044,49,94,0.7015,1.4678
40 465,49,289,0.7015,1.4677
33 40 287,49,101,0.7014,1.4676
33 39 238,49,101,0.7014,1.4676
40 584,49,108,0.7013,1.4674
40 3362,49,162,0.7013,1.4674
49 257,40,113,0.8433,1.4671
40 124,49,509,0.7011,1.4670
40 1977,49,129,0.7011,1.4669
90 476,40,129,0.8431,1.4669
37 90,40,129,0.8431,1.4669
40 42 16012,49,136,0.7010,1.4668
42 1199,49,150,0.7009,1.4666
42 49 1601,40,102,0.8430,1.4666
49 90 476,40,102,0.8430,1.4666
39 42 106,49,103,0.7007,1.4661
12 42,40,166,0.8426,1.4660
40 151,49,255,0.7005,1.4658
42 545,49,138,0.7005,1.4657
40 2057,49,180,0.7004,1.4655
39 49 311,40,251,0.8423,1.4654
42 2136,40,96,0.8421,1.4651
42 268,40,112,0.8421,1.4651
39 42 148,40,96,0.8421,1.4651
1061,49,147,0.7000,1.4647
40 1047,49,119,0.7000,1.4647
13 40,49,161,0.7000,1.4647
42 353,49,119,0.7000,1.4647
40 399,49,224,0.7000,1.4647
40 42 16011 16012,49,133,0.7000,1.4647
39 42 66,40,191,0.8414,1.4638
40 2345,49,128,0.6995,1.4635
33 40 186,49,128,0.6995,1.4635
39 49 534,40,143,0.8412,1.4634
49 1056,40,90,0.8411,1.4633
40 1319,49,107,0.6993,1.4633
33 39 40 287,49,100,0.6993,1.4632
33 40 271,49,193,0.6993,1.4631
40 2707,49,93,0.6992,1.4631
49 90 226,40,111,0.8409,1.4630
38 39 42,49,172,0.6992,1.4630
40 262,49,244,0.6991,1.4629
40 2255,49,151,0.6991,1.4627
4112,49,130,0.6989,1.4624
49 66 311,40,137,0.8405,1.4622
90 226,40,137,0.8405,1.4622
40 1653,49,109,0.6987,1.4620
40 1161,49,109,0.6987,1.4620
40 588,49,109,0.6987,1.4620
40 794,49,218,0.6987,1.4620
42 49 230,40,121,0.8403,1.4619
40 1333,49,95,0.6985,1.4616
40 42 16218,49,234,0.6985,1.4615
40 321,49,139,0.6985,1.4615
39 49 12926,40,147,0.8400,1.4614
39 49 61,40,105,0.8400,1.4614
40 663,49,118,0.6982,1.4609
40 2438,49,215,0.6981,1.4606
888,49,164,0.6979,1.4602
40 441,49,97,0.6978,1.4601
40 818,49,127,0.6978,1.4601
33 40 42,49,1646,0.6978,1.4600
39 42 2239,40,120,0.8392,1.4599
49 90 238,40,146,0.8391,1.4598
40 12474,49,120,0.6977,1.4598
39 40 1394,49,113,0.6975,1.4595
42 49 271 272,40,104,0.8387,1.4591
39 42 49,40,1991,0.8387,1.4591
33 40 66,49,357,0.6973,1.4589
3277,49,138,0.6970,1.4583
40 612,49,115,0.6970,1.4583
42 341,49,115,0.6970,1.4583
19 42,49,138,0.6970,1.4583
42 8979,40,243,0.8379,1.4578
39 49 476,40,243,0.8379,1.4578
40 95,49,209,0.6967,1.4577
42 1987,40,124,0.8378,1.4576
33 39 90,40,124,0.8378,1.4576
40 406 10516,49,124,0.6966,1.4576
40 42 148,49,234,0.6964,1.4572
42 49 287,40,134,0.8375,1.4570
38 42,49,172,0.6964,1.4570
40 4780,49,110,0.6962,1.4567
42 1394,40,180,0.8372,1.4565
49 2389,40,149,0.8371,1.4563
42 465,49,135,0.6959,1.4560
42 605,49,199,0.6958,1.4559
40 280,49,279,0.6958,1.4558
40 1593,49,96,0.6957,1.4556
40 1343,49,96,0.6957,1.4556
40 651,49,96,0.6957,1.4556
40 2178,49,112,0.6957,1.4556
39 40 148,49,176,0.6957,1.4556
42 49 16011 16012,40,133,0.8365,1.4553
40 339,49,516,0.6954,1.4551
446,49,121,0.6954,1.4550
283,49,162,0.6953,1.4548
40 1843,49,146,0.6952,1.4547
40 2216,49,114,0.6951,1.4545
11 42,40,112,0.8358,1.4541
42 49 148,40,234,0.8357,1.4539
49 12952,40,183,0.8356,1.4538
5316,49,91,0.6947,1.4535
40 42 176,49,166,0.6946,1.4533
827,49,100,0.6944,1.4530
40 5052,49,150,0.6944,1.4530
42 476,40,476,0.8351,1.4528
40 577,49,118,0.6941,1.4524
42 1579,49,118,0.6941,1.4524
42 1715,40,101,0.8347,1.4522
42 572,40,101,0.8347,1.4522
42 4337,49,93,0.6940,1.4522
49 2481,40,106,0.8346,1.4521
49 980,40,222,0.8346,1.4520
6083,49,102,0.6939,1.4518
42 773,49,102,0.6939,1.4518
39 571,40,121,0.8345,1.4518
39 42 49 287,40,131,0.8344,1.4516
42 767,49,120,0.6936,1.4514
39 42 238,40,171,0.8341,1.4512
33 40 259,49,95,0.6934,1.4509
423,49,104,0.6933,1.4507
42 106,49,104,0.6933,1.4507
42 102,49,330,0.6933,1.4506
42 414,49,287,0.6932,1.4505
40 731,49,167,0.6929,1.4499
49 5652,40,105,0.8333,1.4498
49 4900,40,120,0.8333,1.4498
42 53,40,90,0.8333,1.4498
42 262,40,100,0.8333,1.4498
39 2384,40,95,0.8333,1.4498
42 49 15619,40,100,0.8333,1.4498
19 42 49,40,115,0.8333,1.4498
49 271 2239,40,120,0.8333,1.4498
10 39 40,49,106,0.6928,1.4496
598,40,209,0.8327,1.4486
40 1056,49,90,0.6923,1.4486
40 796,49,108,0.6923,1.4486
40 1373,49,108,0.6923,1.4486
33 40 534,49,126,0.6923,1.4486
40 180,49,452,0.6922,1.4483
42 49 209,40,124,0.8322,1.4478
42 49 523,40,119,0.8322,1.4478
33 42 476,40,119,0.8322,1.4478
49 1653,40,109,0.8321,1.4476
40 172,49,110,0.6918,1.4476
42 49 238,40,312,0.8320,1.4475
40 201,49,101,0.6918,1.4475
40 491,49,193,0.6918,1.4474
249,49,285,0.6917,1.4474
40 223,49,92,0.6917,1.4474
49 226 272,40,183,0.8318,1.4472
39 49 2806,40,89,0.8318,1.4471
40 830,49,148,0.6916,1.4471
42 439,49,296,0.6916,1.4471
42 784,49,139,0.6915,1.4470
40 683,49,130,0.6915,1.4469
1164,49,177,0.6914,1.4467
39 186,49,150,0.6912,1.4463
40 1482,49,188,0.6912,1.4462
40 414,49,781,0.6912,1.4461
40 5729,49,132,0.6911,1.4460
42 49 1136,40,113,0.8309,1.4455
40 1097,49,105,0.6908,1.4454
39 1815,40,108,0.8308,1.4453
39 49 16011,40,108,0.8308,1.4453
42 49 1147,40,260,0.8307,1.4452
40 42 66,49,547,0.6907,1.4451
40 1620,49,174,0.6905,1.4447
40 914,49,232,0.6905,1.4447
1287,49,107,0.6903,1.4444
286,49,185,0.6903,1.4444
39 339,49,127,0.6902,1.4442
40 1514,49,196,0.6901,1.4440
5347,49,118,0.6901,1.4439
40 2114,49,118,0.6901,1.4439
40 977,49,325,0.6900,1.4438
3715,49,89,0.6899,1.4436
42 676,49,89,0.6899,1.4436
33 39 42 49,40,448,0.8296,1.4434
49 1843,40,146,0.8295,1.4432
42 49 13042,40,219,0.8295,1.4432
42 61,40,219,0.8295,1.4432
40 10514,49,100,0.6897,1.4430
40 1114,49,171,0.6895,1.4427
49 1144,40,102,0.8293,1.4427
40 2626,49,111,0.6894,1.4426
40 911,49,222,0.6894,1.4426
40 42 12926,49,91,0.6894,1.4425
49 10599,40,97,0.8291,1.4424
42 137,40,97,0.8291,1.4424
40 1445,49,142,0.6893,1.4423
40 170,49,122,0.6893,1.4422
49 5153,40,126,0.8289,1.4422
40 2104,49,102,0.6892,1.4420
40 42 1601,49,102,0.6892,1.4420
49 2098,40,92,0.8288,1.4420
49 61 90,40,92,0.8288,1.4420
33 42 49 476,40,92,0.8288,1.4420
33 476,49,308,0.6890,1.4417
40 1805,49,113,0.6890,1.4417
42 56,40,145,0.8286,1.4415
42 49 550,40,116,0.8286,1.4415
42 49 16011,40,261,0.8286,1.4415
39 42 90,40,174,0.8286,1.4415
40 5768,49,93,0.6889,1.4414
2016,49,259,0.6888,1.4413
40 1278,49,166,0.6888,1.4412
4549,49,115,0.6886,1.4409
40 917,49,241,0.6886,1.4407
42 2047,40,106,0.8281,1.4407
42 2239,40,472,0.8281,1.4406
42 1328,40,380,0.8279,1.4403
33 38 49,40,101,0.8279,1.4403
33 38 39 49,40,101,0.8279,1.4403
42 226,40,726,0.8278,1.4402
3222,49,159,0.6883,1.4402
39 311,49,298,0.6882,1.4400
20 42,49,139,0.6881,1.4398
49 707,40,96,0.8276,1.4398
42 49 397,40,96,0.8276,1.4398
42 49 408,40,96,0.8276,1.4398
62,49,97,0.6879,1.4394
40 4106,49,97,0.6879,1.4394
40 2092,49,141,0.6878,1.4391
33 42 66,49,152,0.6878,1.4391
40 537,49,110,0.6875,1.4385
40 1197,49,132,0.6875,1.4385
40 536,49,275,0.6875,1.4385
42 157,49,110,0.6875,1.4385
33 40 825,49,99,0.6875,1.4385
39 40 238,49,352,0.6875,1.4385
10 42 49,40,191,0.8268,1.4385
42 54,40,105,0.8268,1.4384
39 49 605,40,105,0.8268,1.4384
39 79,40,181,0.8265,1.4379
52,49,134,0.6872,1.4378
40 1820,49,112,0.6871,1.4377
2525,49,213,0.6871,1.4377
40 8979 16011,49,101,0.6871,1.4376
40 42 46,49,90,0.6870,1.4375
40 10654,49,169,0.6870,1.4374
831,49,294,0.6869,1.4373
49 760,40,114,0.8261,1.4372
42 10445,40,95,0.8261,1.4372
39 42 49 111,40,346,0.8258,1.4366
42 46 49,40,90,0.8257,1.4365
42 1345,40,213,0.8256,1.4363
40 1592,49,116,0.6864,1.4362
40 207,49,105,0.6863,1.4359
42 256,40,274,0.8253,1.4358
515,49,293,0.6862,1.4357
40 4995,49,129,0.6862,1.4357
40 2055,49,129,0.6862,1.4357
42 49 593,40,170,0.8252,1.4357
42 1436,40,118,0.8252,1.4356
42 605,40,236,0.8252,1.4356
49 2239,40,788,0.8251,1.4355
40 13335,49,118,0.6860,1.4355
42 49 66,40,547,0.8250,1.4354
1671,40,132,0.8250,1.4353
49 3150,40,99,0.8250,1.4353
49 5729,40,132,0.8250,1.4353
40 784,49,439,0.6859,1.4352
39 49 1394,40,113,0.8248,1.4350
39 49 593,40,113,0.8248,1.4350
33 866,49,96,0.6857,1.4348
39 42 56,40,141,0.8246,1.4345
39 49 79,40,141,0.8246,1.4345
40 534,49,632,0.6855,1.4342
40 42 1345,49,146,0.6854,1.4342
42 49 16012,40,136,0.8242,1.4340
24 42,40,150,0.8242,1.4339
42 650,49,135,0.6853,1.4339
37 39 42,40,553,0.8241,1.4338
49 1972,40,89,0.8241,1.4337
40 1014,49,111,0.6852,1.4337
42 1873,49,111,0.6852,1.4337
49 1518,40,103,0.8240,1.4336
42 49 549,40,145,0.8239,1.4333
832,49,311,0.6850,1.4333
40 1764,49,113,0.6848,1.4330
40 10492,49,176,0.6848,1.4329
49 2709,40,98,0.8235,1.4327
42 243,40,98,0.8235,1.4327
40 705,49,191,0.6846,1.4324
2761,49,102,0.6846,1.4324
40 2365,49,115,0.6845,1.4323
66 476,49,115,0.6845,1.4323
39 549,49,141,0.6845,1.4322
49 5359,40,107,0.8231,1.4320
39 42 271,40,93,0.8230,1.4318
42 790,40,158,0.8229,1.4317
10599,49,117,0.6842,1.4316
40 279,49,117,0.6842,1.4316
40 42 1328,49,260,0.6842,1.4316
49 2012,40,116,0.8227,1.4313
398,49,210,0.6840,1.4313
40 366,49,197,0.6840,1.4312
42 427,40,102,0.8226,1.4311
33 40 15833,49,106,0.6839,1.4309
40 200,49,93,0.6838,1.4308
40 535,49,147,0.6837,1.4306
39 40 265,49,121,0.6836,1.4304
40 2875,49,95,0.6835,1.4300
38 42,40,203,0.8219,1.4298
39 49 2239,40,203,0.8219,1.4298
40 42 15833,49,220,0.6832,1.4296
10 39 49,40,106,0.8217,1.4296
42 180,40,184,0.8214,1.4291
3339,49,112,0.6829,1.4289
40 2764,49,112,0.6829,1.4289
40 2998,49,112,0.6829,1.4289
40 1240,49,239,0.6829,1.4288
42 1716,49,127,0.6828,1.4287
39 571,49,99,0.6828,1.4286
49 8979 16011,40,101,0.8211,1.4286
38 39 42,40,202,0.8211,1.4286
40 419,49,200,0.6826,1.4282
40 1868,49,187,0.6825,1.4280
1625,49,101,0.6824,1.4279
40 118,49,378,0.6823,1.4276
42 375,40,128,0.8205,1.4275
40 42 2239,49,322,0.6822,1.4274
39 650,49,103,0.6821,1.4272
42 49 111,40,347,0.8203,1.4272
42 298,40,105,0.8203,1.4271
40 1283,49,133,0.6821,1.4271
39 49 271,40,196,0.8201,1.4267
40 260,49,255,0.6818,1.4266
42 704,49,90,0.6818,1.4266
39 40 61,49,105,0.6818,1.4266
42 49 302,40,141,0.8198,1.4262
40 754,49,107,0.6815,1.4260
40 2880,49,199,0.6815,1.4260
2999,49,169,0.6815,1.4258
2674,49,280,0.6813,1.4255
42 825,49,218,0.6813,1.4254
33 40 784,49,94,0.6812,1.4252
102 311,49,94,0.6812,1.4252
40 2169,49,205,0.6811,1.4250
42 49 271,40,258,0.8190,1.4249
40 209,49,222,0.6810,1.4249
42 962,40,104,0.8189,1.4247
40 12930,49,320,0.6809,1.4246
33 42 238,49,96,0.6809,1.4246
49 1539,40,113,0.8188,1.4246
49 15579,40,149,0.8187,1.4243
42 265,40,167,0.8186,1.4242
39 49 148,40,176,0.8186,1.4242
40 4394,49,130,0.6806,1.4241
39 40 42 66,49,130,0.6806,1.4241
40 1199,49,277,0.6806,1.4240
42 534,40,275,0.8185,1.4239
2168,49,181,0.6805,1.4238
40 765,49,132,0.6804,1.4237
49 2806,40,90,0.8182,1.4234
42 592,40,90,0.8182,1.4234
42 49 1068,40,90,0.8182,1.4234
226 311,40,135,0.8182,1.4234
40 1145,49,234,0.6802,1.4233
40 406,49,340,0.6800,1.4228
39 49 1147,40,148,0.8177,1.4226
42 593,49,206,0.6799,1.4225
42 14099,40,139,0.8176,1.4225
40 1282,49,121,0.6798,1.4223
40 298,49,242,0.6798,1.4223
39 268,49,104,0.6797,1.4223
42 271 272,40,179,0.8174,1.4220
33 40 61,49,123,0.6796,1.4219
40 3292,49,106,0.6795,1.4217
37 42,40,572,0.8171,1.4216
33 40 1328,49,142,0.6794,1.4216
3661,49,89,0.6794,1.4215
40 99,49,89,0.6794,1.4215
49 272 2239,40,125,0.8170,1.4214
40 1379,49,108,0.6792,1.4212
39 40 16011,49,108,0.6792,1.4212
42 49,40,7366,0.8168,1.4210
20 40,49,402,0.6791,1.4208
33 42 148,40,98,0.8167,1.4208
39 957,49,110,0.6790,1.4207
165,49,224,0.6788,1.4203
42 49 10516,40,102,0.8160,1.4196
42 79,40,164,0.8159,1.4195
39 40 42 238,49,116,0.6784,1.4194
42 176,40,239,0.8157,1.4191
40 250,49,510,0.6782,1.4190
49 3760,40,159,0.8154,1.4186
42 49 16218,40,234,0.8153,1.4185
33 40 14099,49,101,0.6779,1.4183
42 151,40,97,0.8151,1.4181
40 928,49,124,0.6776,1.4178
42 49 650,40,110,0.8148,1.4176
39 40 605,49,105,0.6774,1.4174
40 773,49,275,0.6773,1.4172
39 40 48,49,212,0.6773,1.4172
39 650,40,123,0.8146,1.4172
42 49 79,40,136,0.8144,1.4168
39 40 42 111,49,346,0.6771,1.4168
40 263,49,130,0.6771,1.4167
42 261,40,114,0.8143,1.4167
2625,49,109,0.6770,1.4166
33 49 226,40,298,0.8142,1.4165
42 49 1815,40,92,0.8142,1.4164
42 13042,49,264,0.6769,1.4164
40 493,49,111,0.6768,1.4162
40 424,49,111,0.6768,1.4162
42 1660,40,105,0.8140,1.4161
42 676,40,105,0.8140,1.4161
42 49 3617,40,105,0.8140,1.4161
39 49 3271,40,105,0.8140,1.4161
40 2506,49,201,0.6768,1.4160
40 838,49,90,0.6767,1.4159
42 10447,49,90,0.6767,1.4159
42 187,40,118,0.8138,1.4158
4208,49,205,0.6766,1.4156
49 3295,40,131,0.8137,1.4156
42 791,49,138,0.6765,1.4154
33 1436,49,92,0.6765,1.4154
49 1167,40,96,0.8136,1.4154
80 226,40,109,0.8134,1.4152
3272,49,117,0.6763,1.4151
42 16012,49,165,0.6762,1.4149
42 49 80,40,270,0.8133,1.4149
40 1082,49,142,0.6762,1.4148
2242,49,284,0.6762,1.4148
40 624,49,213,0.6762,1.4148
33 16011,49,190,0.6762,1.4148
49 492,40,148,0.8132,1.4147
40 1418,49,217,0.6760,1.4145
39 42 102,40,100,0.8130,1.4144
20 42 49,40,113,0.8129,1.4143
42 8979,49,196,0.6759,1.4142
42 339,49,173,0.6758,1.4140
40 102,49,946,0.6757,1.4138
5128,49,125,0.6757,1.4138
1594,49,150,0.6757,1.4138
42 49 162,40,104,0.8125,1.4135
42 957,49,152,0.6756,1.4135
40 922,49,127,0.6755,1.4135
3547,49,102,0.6755,1.4134
1184,49,179,0.6755,1.4133
39 784,49,104,0.6753,1.4130
42 12926,49,104,0.6753,1.4130
42 10447,40,108,0.8120,1.4127
40 2516,49,133,0.6751,1.4126
1995,49,162,0.6750,1.4123
40 48,49,216,0.6750,1.4123
40 957,49,405,0.6750,1.4123
39 1394,49,137,0.6749,1.4121
42 390,40,155,0.8115,1.4118
42 49 977,40,99,0.8115,1.4118
42 16011,49,315,0.6745,1.4113
39 825,49,116,0.6744,1.4111
40 1671,49,89,0.6742,1.4108
4144,49,120,0.6742,1.4106
40 14099,49,540,0.6742,1.4106
40 202,49,451,0.6741,1.4106
40 353,49,151,0.6741,1.4105
33 40 102,49,182,0.6741,1.4104
40 2287,49,93,0.6739,1.4101
33 302,49,188,0.6738,1.4099
40 42 111,49,347,0.6738,1.4098
49 1185,40,94,0.8103,1.4098
39 49 162,40,94,0.8103,1.4098
39 49 272,40,188,0.8103,1.4098
2819,49,95,0.6738,1.4098
2786,49,95,0.6738,1.4098
42 16011 16012,49,159,0.6737,1.4097
1310,49,97,0.6736,1.4094
2379,49,130,0.6736,1.4094
42 250,40,209,0.8101,1.4093
49 10606,40,145,0.8101,1.4093
39 40 271,49,196,0.6735,1.4093
10443,49,229,0.6735,1.4093
4058,49,99,0.6735,1.4091
40 494,49,99,0.6735,1.4091
39 42 791,49,136,0.6733,1.4087
426,49,408,0.6733,1.4087
40 548,49,171,0.6732,1.4086
33 571,49,103,0.6732,1.4086
49 1906,40,102,0.8095,1.4084
49 1643,40,102,0.8095,1.4084
39 42 106,40,119,0.8095,1.4084
37 39 66,40,119,0.8095,1.4084
33 678,49,179,0.6729,1.4080
11040,49,109,0.6728,1.4078
42 49 957,40,123,0.8092,1.4078
40 265,49,403,0.6728,1.4077
49 1391,40,89,0.8091,1.4076
39 256,40,216,0.8090,1.4074
3775,49,152,0.6726,1.4073
39 42 49 791,40,110,0.8088,1.4072
49 66 476,40,93,0.8087,1.4069
40 2209,49,158,0.6723,1.4068
3241,49,121,0.6722,1.4065
40 3503,49,164,0.6721,1.4063
49 290,40,97,0.8083,1.4063
49 1992,40,97,0.8083,1.4063
2040,40,118,0.8082,1.4061
3087,49,129,0.6719,1.4058
42 302,49,172,0.6719,1.4058
553,49,174,0.6718,1.4057
39 49 90,40,467,0.8080,1.4056
33 39 40,49,1236,0.6717,1.4055
49 979,40,164,0.8079,1.4055
39 40 42 171,49,413,0.6715,1.4051
942,49,92,0.6715,1.4051
40 2098,49,92,0.6715,1.4051
39 40 282,49,184,0.6715,1.4051
40 879,49,231,0.6715,1.4051
40 42 171,49,419,0.6715,1.4050
40 1381,49,94,0.6714,1.4049
39 302,49,94,0.6714,1.4049
49 1270,40,130,0.8075,1.4048
39 42 2239,49,96,0.6713,1.4047
49 5730,40,155,0.8073,1.4045
33 270,49,98,0.6712,1.4045
2570,49,100,0.6711,1.4043
40 2984,49,100,0.6711,1.4043
40 2597,49,100,0.6711,1.4043
42 259,40,205,0.8071,1.4041
40 389,49,102,0.6711,1.4041
42 624,49,102,0.6711,1.4041
39 171 238,49,102,0.6711,1.4041
42 49 2438,40,92,0.8070,1.4040
40 1346,49,104,0.6710,1.4039
40 605,49,520,0.6710,1.4039
42 1068,40,117,0.8069,1.4038
42 406,49,106,0.6709,1.4037
33 39 42,49,540,0.6708,1.4036
40 1127,49,165,0.6707,1.4034
39 49 186,40,121,0.8067,1.4034
40 2776,49,167,0.6707,1.4033
49 3316,40,125,0.8065,1.4030
3905,40,275,0.8065,1.4030
49 226,40,1400,0.8065,1.4030
348,49,177,0.6705,1.4028
42 15619,49,120,0.6704,1.4027
40 2192,49,122,0.6703,1.4026
40 186,49,555,0.6703,1.4025
49 1210,40,162,0.8060,1.4022
40 282,49,193,0.6701,1.4022
40 1270,49,130,0.6701,1.4021
42 1579,40,137,0.8059,1.4020
40 825,49,471,0.6700,1.4019
2390,49,136,0.6700,1.4018
940,49,140,0.6699,1.4016
39 49 230,40,116,0.8056,1.4015
37 226,40,116,0.8056,1.4015
39 49 372,40,294,0.8055,1.4013
530,49,150,0.6696,1.4011
39 42 66,49,152,0.6696,1.4011
40 1044,49,229,0.6696,1.4010
42 1136,40,124,0.8052,1.4008
49 11841,40,95,0.8051,1.4006
42 2209,40,95,0.8051,1.4006
42 16011 16012,40,190,0.8051,1.4006
40 1001,49,164,0.6694,1.4006
